"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Age Group","Google Shopping / Gender","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code",
"tye-dye-sweatpant-pink-tie-dye","TYE DYE SWEATPANT","<p>TYE DYE SWEATPANT</p>","Asphalt","JOGGER","JOGGER, TYE DYE SWEATPANT","FALSE","Size","S","Color","PINK TIE DYE",,,"ASP38KB027-PNK/TYDY-S",,"shopify",0,"deny","manual",50,,"TRUE","TRUE",888236568774,,,,"FALSE",,"Adult","Female","Apparel & Accessories",,"TYE DYE SWEATPANT",,,"New",,,,,,,,"lb",,
"tye-dye-sweatpant-pink-tie-dye",,,,,,,,"M",,"PINK TIE DYE",,,"ASP38KB027-PNK/TYDY-M",,"shopify",0,"deny","manual",50,,"TRUE","TRUE",888236568781,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-sweatpant-pink-tie-dye",,,,,,,,"L",,"PINK TIE DYE",,,"ASP38KB027-PNK/TYDY-L",,"shopify",0,"deny","manual",50,,"TRUE","TRUE",888236568798,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-sweatpant-pink-tie-dye",,,,,,,,"XL",,"PINK TIE DYE",,,"ASP38KB027-PNK/TYDY-XL",,"shopify",0,"deny","manual",50,,"TRUE","TRUE",888236568804,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-sweatpant-pink-tie-dye",,,,,,,,"2XL",,"PINK TIE DYE",,,"ASP38KB027-PNK/TYDY-2XL",,"shopify",0,"deny","manual",50,,"TRUE","TRUE",888236568811,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-sweatpant-pink-tie-dye",,,,,,,,"3XL",,"PINK TIE DYE",,,"ASP38KB027-PNK/TYDY-3XL",,"shopify",0,"deny","manual",50,,"TRUE","TRUE",888236568828,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-woven-short-navy","TYE DYE WOVEN SHORT","<p>TYE DYE WOVEN SHORT</p>","Asphalt","SHORTS","SHORTS, TYE DYE WOVEN SHORT","FALSE","Size","S","Color","NAVY",,,"ASP38WB028-NVY-S",,"shopify",0,"deny","manual",45,,"TRUE","TRUE",888236569139,,,,"FALSE",,"Adult","Female","Apparel & Accessories",,"TYE DYE WOVEN SHORT",,,"New",,,,,,,,"lb",,
"tye-dye-woven-short-navy",,,,,,,,"M",,"NAVY",,,"ASP38WB028-NVY-M",,"shopify",0,"deny","manual",45,,"TRUE","TRUE",888236569146,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-woven-short-navy",,,,,,,,"L",,"NAVY",,,"ASP38WB028-NVY-L",,"shopify",0,"deny","manual",45,,"TRUE","TRUE",888236569153,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-woven-short-navy",,,,,,,,"XL",,"NAVY",,,"ASP38WB028-NVY-XL",,"shopify",0,"deny","manual",45,,"TRUE","TRUE",888236569160,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-woven-short-navy",,,,,,,,"2XL",,"NAVY",,,"ASP38WB028-NVY-2XL",,"shopify",0,"deny","manual",45,,"TRUE","TRUE",888236569177,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-woven-short-navy",,,,,,,,"3XL",,"NAVY",,,"ASP38WB028-NVY-3XL",,"shopify",0,"deny","manual",45,,"TRUE","TRUE",888236569184,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-roll-cuff-shorts-pink-tie-dye","TYE DYE ROLL CUFF SHORTS","<p>TYE DYE ROLL CUFF SHORTS</p>","Asphalt","SHORTS","SHORTS, TYE DYE ROLL CUFF SHORTS","FALSE","Size","S","Color","PINK TIE DYE",,,"ASP38KB026-PNK/TYDY-S",,"shopify",0,"deny","manual",45,,"TRUE","TRUE",888236568712,,,,"FALSE",,"Adult","Female","Apparel & Accessories",,"TYE DYE ROLL CUFF SHORTS",,,"New",,,,,,,,"lb",,
"tye-dye-roll-cuff-shorts-pink-tie-dye",,,,,,,,"M",,"PINK TIE DYE",,,"ASP38KB026-PNK/TYDY-M",,"shopify",0,"deny","manual",45,,"TRUE","TRUE",888236568729,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-roll-cuff-shorts-pink-tie-dye",,,,,,,,"L",,"PINK TIE DYE",,,"ASP38KB026-PNK/TYDY-L",,"shopify",0,"deny","manual",45,,"TRUE","TRUE",888236568736,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-roll-cuff-shorts-pink-tie-dye",,,,,,,,"XL",,"PINK TIE DYE",,,"ASP38KB026-PNK/TYDY-XL",,"shopify",0,"deny","manual",45,,"TRUE","TRUE",888236568743,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-roll-cuff-shorts-pink-tie-dye",,,,,,,,"2XL",,"PINK TIE DYE",,,"ASP38KB026-PNK/TYDY-2XL",,"shopify",0,"deny","manual",45,,"TRUE","TRUE",888236568750,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-roll-cuff-shorts-pink-tie-dye",,,,,,,,"3XL",,"PINK TIE DYE",,,"ASP38KB026-PNK/TYDY-3XL",,"shopify",0,"deny","manual",45,,"TRUE","TRUE",888236568767,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-pkt-tank-navy","TYE DYE PKT TANK","<p>TYE DYE PKT TANK</p>","Asphalt","TANK","TANK, TYE DYE PKT TANK","FALSE","Size","S","Color","NAVY",,,"ASP38KT025-NVY-S",,"shopify",0,"deny","manual",30,,"TRUE","TRUE",888236569078,,,,"FALSE",,"Adult","Female","Apparel & Accessories",,"TYE DYE PKT TANK",,,"New",,,,,,,,"lb",,
"tye-dye-pkt-tank-navy",,,,,,,,"M",,"NAVY",,,"ASP38KT025-NVY-M",,"shopify",0,"deny","manual",30,,"TRUE","TRUE",888236569085,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-pkt-tank-navy",,,,,,,,"L",,"NAVY",,,"ASP38KT025-NVY-L",,"shopify",0,"deny","manual",30,,"TRUE","TRUE",888236569092,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-pkt-tank-navy",,,,,,,,"XL",,"NAVY",,,"ASP38KT025-NVY-XL",,"shopify",0,"deny","manual",30,,"TRUE","TRUE",888236569108,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-pkt-tank-navy",,,,,,,,"2XL",,"NAVY",,,"ASP38KT025-NVY-2XL",,"shopify",0,"deny","manual",30,,"TRUE","TRUE",888236569115,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-pkt-tank-navy",,,,,,,,"3XL",,"NAVY",,,"ASP38KT025-NVY-3XL",,"shopify",0,"deny","manual",30,,"TRUE","TRUE",888236569122,,,,,,,,,,,,,,,,,,,,,"lb",,
"tri-block-tank-navy","TRI BLOCK TANK","<p>TRI BLOCK TANK</p>","Asphalt","TANK","TANK, TRI BLOCK TANK","FALSE","Size","S","Color","NAVY",,,"ASP38KT024-NVY-S",,"shopify",0,"deny","manual",30,,"TRUE","TRUE",888236569016,,,,"FALSE",,"Adult","Female","Apparel & Accessories",,"TRI BLOCK TANK",,,"New",,,,,,,,"lb",,
"tri-block-tank-navy",,,,,,,,"M",,"NAVY",,,"ASP38KT024-NVY-M",,"shopify",0,"deny","manual",30,,"TRUE","TRUE",888236569023,,,,,,,,,,,,,,,,,,,,,"lb",,
"tri-block-tank-navy",,,,,,,,"L",,"NAVY",,,"ASP38KT024-NVY-L",,"shopify",0,"deny","manual",30,,"TRUE","TRUE",888236569030,,,,,,,,,,,,,,,,,,,,,"lb",,
"tri-block-tank-navy",,,,,,,,"XL",,"NAVY",,,"ASP38KT024-NVY-XL",,"shopify",0,"deny","manual",30,,"TRUE","TRUE",888236569047,,,,,,,,,,,,,,,,,,,,,"lb",,
"tri-block-tank-navy",,,,,,,,"2XL",,"NAVY",,,"ASP38KT024-NVY-2XL",,"shopify",0,"deny","manual",30,,"TRUE","TRUE",888236569054,,,,,,,,,,,,,,,,,,,,,"lb",,
"tri-block-tank-navy",,,,,,,,"3XL",,"NAVY",,,"ASP38KT024-NVY-3XL",,"shopify",0,"deny","manual",30,,"TRUE","TRUE",888236569061,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-s-s-crew-pink-tie-dye","TYE DYE S/S CREW","<p>TYE DYE S/S CREW</p>","Asphalt","CREWNECK","CREWNECK, TYE DYE S/S CREW","FALSE","Size","S","Color","PINK TIE DYE",,,"ASP38KT023-PNK/TYDY-S",,"shopify",0,"deny","manual",49,,"TRUE","TRUE",888236568958,,,,"FALSE",,"Adult","Female","Apparel & Accessories",,"TYE DYE S/S CREW",,,"New",,,,,,,,"lb",,
"tye-dye-s-s-crew-pink-tie-dye",,,,,,,,"M",,"PINK TIE DYE",,,"ASP38KT023-PNK/TYDY-M",,"shopify",0,"deny","manual",49,,"TRUE","TRUE",888236568965,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-s-s-crew-pink-tie-dye",,,,,,,,"L",,"PINK TIE DYE",,,"ASP38KT023-PNK/TYDY-L",,"shopify",0,"deny","manual",49,,"TRUE","TRUE",888236568972,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-s-s-crew-pink-tie-dye",,,,,,,,"XL",,"PINK TIE DYE",,,"ASP38KT023-PNK/TYDY-XL",,"shopify",0,"deny","manual",49,,"TRUE","TRUE",888236568989,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-s-s-crew-pink-tie-dye",,,,,,,,"2XL",,"PINK TIE DYE",,,"ASP38KT023-PNK/TYDY-2XL",,"shopify",0,"deny","manual",49,,"TRUE","TRUE",888236568996,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-s-s-crew-pink-tie-dye",,,,,,,,"3XL",,"PINK TIE DYE",,,"ASP38KT023-PNK/TYDY-3XL",,"shopify",0,"deny","manual",49,,"TRUE","TRUE",888236569009,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-woven-shirt-white","TYE DYE WOVEN SHIRT","<p>TYE DYE WOVEN SHIRT</p>","Asphalt","SHIRT","SHIRT, TYE DYE WOVEN SHIRT","FALSE","Size","S","Color","WHITE",,,"ASP38WT022-WHT-S",,"shopify",0,"deny","manual",55,,"TRUE","TRUE",888236569191,,,,"FALSE",,"Adult","Female","Apparel & Accessories",,"TYE DYE WOVEN SHIRT",,,"New",,,,,,,,"lb",,
"tye-dye-woven-shirt-white",,,,,,,,"M",,"WHITE",,,"ASP38WT022-WHT-M",,"shopify",0,"deny","manual",55,,"TRUE","TRUE",888236569207,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-woven-shirt-white",,,,,,,,"L",,"WHITE",,,"ASP38WT022-WHT-L",,"shopify",0,"deny","manual",55,,"TRUE","TRUE",888236569214,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-woven-shirt-white",,,,,,,,"XL",,"WHITE",,,"ASP38WT022-WHT-XL",,"shopify",0,"deny","manual",55,,"TRUE","TRUE",888236569221,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-woven-shirt-white",,,,,,,,"2XL",,"WHITE",,,"ASP38WT022-WHT-2XL",,"shopify",0,"deny","manual",55,,"TRUE","TRUE",888236569238,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-woven-shirt-white",,,,,,,,"3XL",,"WHITE",,,"ASP38WT022-WHT-3XL",,"shopify",0,"deny","manual",55,,"TRUE","TRUE",888236569245,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-stripe-tee-navy","TYE DYE STRIPE TEE","<p>TYE DYE STRIPE TEE</p>","Asphalt","TEE","TEE, TYE DYE STRIPE TEE","FALSE","Size","S","Color","NAVY",,,"ASP38KT021-NVY-S",,"shopify",0,"deny","manual",35,,"TRUE","TRUE",888236568897,,,,"FALSE",,"Adult","Female","Apparel & Accessories",,"TYE DYE STRIPE TEE",,,"New",,,,,,,,"lb",,
"tye-dye-stripe-tee-navy",,,,,,,,"M",,"NAVY",,,"ASP38KT021-NVY-M",,"shopify",0,"deny","manual",35,,"TRUE","TRUE",888236568903,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-stripe-tee-navy",,,,,,,,"L",,"NAVY",,,"ASP38KT021-NVY-L",,"shopify",0,"deny","manual",35,,"TRUE","TRUE",888236568910,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-stripe-tee-navy",,,,,,,,"XL",,"NAVY",,,"ASP38KT021-NVY-XL",,"shopify",0,"deny","manual",35,,"TRUE","TRUE",888236568927,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-stripe-tee-navy",,,,,,,,"2XL",,"NAVY",,,"ASP38KT021-NVY-2XL",,"shopify",0,"deny","manual",35,,"TRUE","TRUE",888236568934,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-stripe-tee-navy",,,,,,,,"3XL",,"NAVY",,,"ASP38KT021-NVY-3XL",,"shopify",0,"deny","manual",35,,"TRUE","TRUE",888236568941,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-trk-jkt-navy","TYE DYE TRK JKT","<p>TYE DYE TRK JKT</p>","Asphalt","JACKET","JACKET, TYE DYE TRK JKT","FALSE","Size","S","Color","NAVY",,,"ASP38KT020-NVY-S",,"shopify",0,"deny","manual",49,,"TRUE","TRUE",888236568835,,,,"FALSE",,"Adult","Female","Apparel & Accessories",,"TYE DYE TRK JKT",,,"New",,,,,,,,"lb",,
"tye-dye-trk-jkt-navy",,,,,,,,"M",,"NAVY",,,"ASP38KT020-NVY-M",,"shopify",0,"deny","manual",49,,"TRUE","TRUE",888236568842,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-trk-jkt-navy",,,,,,,,"L",,"NAVY",,,"ASP38KT020-NVY-L",,"shopify",0,"deny","manual",49,,"TRUE","TRUE",888236568859,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-trk-jkt-navy",,,,,,,,"XL",,"NAVY",,,"ASP38KT020-NVY-XL",,"shopify",0,"deny","manual",49,,"TRUE","TRUE",888236568866,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-trk-jkt-navy",,,,,,,,"2XL",,"NAVY",,,"ASP38KT020-NVY-2XL",,"shopify",0,"deny","manual",49,,"TRUE","TRUE",888236568873,,,,,,,,,,,,,,,,,,,,,"lb",,
"tye-dye-trk-jkt-navy",,,,,,,,"3XL",,"NAVY",,,"ASP38KT020-NVY-3XL",,"shopify",0,"deny","manual",49,,"TRUE","TRUE",888236568880,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-cargo-short-blue-floral","BLUE FLORAL CARGO SHORT","<p>BLUE FLORAL CARGO SHORT</p>","Asphalt","SHORTS","BLUE FLORAL CARGO SHORT, SHORTS","FALSE","Size","S","Color","BLUE FLORAL",,,"ASP28WB030-BL/FL-S",,"shopify",0,"deny","manual",45,,"TRUE","TRUE",888236568590,,,,"FALSE",,"Adult","Female","Apparel & Accessories",,"BLUE FLORAL CARGO SHORT",,,"New",,,,,,,,"lb",,
"blue-floral-cargo-short-blue-floral",,,,,,,,"M",,"BLUE FLORAL",,,"ASP28WB030-BL/FL-M",,"shopify",0,"deny","manual",45,,"TRUE","TRUE",888236568606,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-cargo-short-blue-floral",,,,,,,,"L",,"BLUE FLORAL",,,"ASP28WB030-BL/FL-L",,"shopify",0,"deny","manual",45,,"TRUE","TRUE",888236568613,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-cargo-short-blue-floral",,,,,,,,"XL",,"BLUE FLORAL",,,"ASP28WB030-BL/FL-XL",,"shopify",0,"deny","manual",45,,"TRUE","TRUE",888236568620,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-cargo-short-blue-floral",,,,,,,,"2XL",,"BLUE FLORAL",,,"ASP28WB030-BL/FL-2XL",,"shopify",0,"deny","manual",45,,"TRUE","TRUE",888236568637,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-cargo-short-blue-floral",,,,,,,,"3XL",,"BLUE FLORAL",,,"ASP28WB030-BL/FL-3XL",,"shopify",0,"deny","manual",45,,"TRUE","TRUE",888236568644,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-sweatpant-black-white","BLUE FLORAL SWEATPANT","<p>BLUE FLORAL SWEATPANT</p>","Asphalt","PANT","BLUE FLORAL SWEATPANT, PANT","FALSE","Size","S","Color","BLACK/WHITE",,,"ASP28KB019-B/W-S",,"shopify",0,"deny","manual",50,,"TRUE","TRUE",888236568170,,,,"FALSE",,"Adult","Female","Apparel & Accessories",,"BLUE FLORAL SWEATPANT",,,"New",,,,,,,,"lb",,
"blue-floral-sweatpant-black-white",,,,,,,,"M",,"BLACK/WHITE",,,"ASP28KB019-B/W-M",,"shopify",0,"deny","manual",50,,"TRUE","TRUE",888236568187,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-sweatpant-black-white",,,,,,,,"L",,"BLACK/WHITE",,,"ASP28KB019-B/W-L",,"shopify",0,"deny","manual",50,,"TRUE","TRUE",888236568194,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-sweatpant-black-white",,,,,,,,"XL",,"BLACK/WHITE",,,"ASP28KB019-B/W-XL",,"shopify",0,"deny","manual",50,,"TRUE","TRUE",888236568200,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-sweatpant-black-white",,,,,,,,"2XL",,"BLACK/WHITE",,,"ASP28KB019-B/W-2XL",,"shopify",0,"deny","manual",50,,"TRUE","TRUE",888236568217,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-sweatpant-black-white",,,,,,,,"3XL",,"BLACK/WHITE",,,"ASP28KB019-B/W-3XL",,"shopify",0,"deny","manual",50,,"TRUE","TRUE",888236568224,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-nylon-pant-blue-floral","BLUE FLORAL NYLON PANT","<p>BLUE FLORAL NYLON PANT</p>","Asphalt","PANT","BLUE FLORAL NYLON PANT, PANT","FALSE","Size","S","Color","BLUE FLORAL",,,"ASP28WB018-BL/FL-S",,"shopify",0,"deny","manual",50,,"TRUE","TRUE",888236568538,,,,"FALSE",,"Adult","Female","Apparel & Accessories",,"BLUE FLORAL NYLON PANT",,,"New",,,,,,,,"lb",,
"blue-floral-nylon-pant-blue-floral",,,,,,,,"M",,"BLUE FLORAL",,,"ASP28WB018-BL/FL-M",,"shopify",0,"deny","manual",50,,"TRUE","TRUE",888236568545,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-nylon-pant-blue-floral",,,,,,,,"L",,"BLUE FLORAL",,,"ASP28WB018-BL/FL-L",,"shopify",0,"deny","manual",50,,"TRUE","TRUE",888236568552,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-nylon-pant-blue-floral",,,,,,,,"XL",,"BLUE FLORAL",,,"ASP28WB018-BL/FL-XL",,"shopify",0,"deny","manual",50,,"TRUE","TRUE",888236568569,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-nylon-pant-blue-floral",,,,,,,,"2XL",,"BLUE FLORAL",,,"ASP28WB018-BL/FL-2XL",,"shopify",0,"deny","manual",50,,"TRUE","TRUE",888236568576,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-nylon-pant-blue-floral",,,,,,,,"3XL",,"BLUE FLORAL",,,"ASP28WB018-BL/FL-3XL",,"shopify",0,"deny","manual",50,,"TRUE","TRUE",888236568583,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-pocket-tee-blue-floral","BLUE FLORAL POCKET TEE","<p>BLUE FLORAL POCKET TEE</p>","Asphalt","JERSEY","BLUE FLORAL POCKET TEE, JERSEY","FALSE","Size","S","Color","BLUE FLORAL",,,"ASP28KT017-BL/FL-S",,"shopify",0,"deny","manual",35,,"TRUE","TRUE",888236568415,,,,"FALSE",,"Adult","Female","Apparel & Accessories",,"BLUE FLORAL POCKET TEE",,,"New",,,,,,,,"lb",,
"blue-floral-pocket-tee-blue-floral",,,,,,,,"M",,"BLUE FLORAL",,,"ASP28KT017-BL/FL-M",,"shopify",0,"deny","manual",35,,"TRUE","TRUE",888236568422,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-pocket-tee-blue-floral",,,,,,,,"L",,"BLUE FLORAL",,,"ASP28KT017-BL/FL-L",,"shopify",0,"deny","manual",35,,"TRUE","TRUE",888236568439,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-pocket-tee-blue-floral",,,,,,,,"XL",,"BLUE FLORAL",,,"ASP28KT017-BL/FL-XL",,"shopify",0,"deny","manual",35,,"TRUE","TRUE",888236568446,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-pocket-tee-blue-floral",,,,,,,,"2XL",,"BLUE FLORAL",,,"ASP28KT017-BL/FL-2XL",,"shopify",0,"deny","manual",35,,"TRUE","TRUE",888236568453,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-pocket-tee-blue-floral",,,,,,,,"3XL",,"BLUE FLORAL",,,"ASP28KT017-BL/FL-3XL",,"shopify",0,"deny","manual",35,,"TRUE","TRUE",888236568460,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-triblock-tee-blue-floral","BLUE FLORAL TRIBLOCK TEE","<p>BLUE FLORAL TRIBLOCK TEE</p>","Asphalt","JERSEY","BLUE FLORAL TRIBLOCK TEE, JERSEY","FALSE","Size","S","Color","BLUE FLORAL",,,"ASP28KT016-BL/FL-S",,"shopify",0,"deny","manual",35,,"TRUE","TRUE",888236568354,,,,"FALSE",,"Adult","Female","Apparel & Accessories",,"BLUE FLORAL TRIBLOCK TEE",,,"New",,,,,,,,"lb",,
"blue-floral-triblock-tee-blue-floral",,,,,,,,"M",,"BLUE FLORAL",,,"ASP28KT016-BL/FL-M",,"shopify",0,"deny","manual",35,,"TRUE","TRUE",888236568361,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-triblock-tee-blue-floral",,,,,,,,"L",,"BLUE FLORAL",,,"ASP28KT016-BL/FL-L",,"shopify",0,"deny","manual",35,,"TRUE","TRUE",888236568378,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-triblock-tee-blue-floral",,,,,,,,"XL",,"BLUE FLORAL",,,"ASP28KT016-BL/FL-XL",,"shopify",0,"deny","manual",35,,"TRUE","TRUE",888236568385,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-triblock-tee-blue-floral",,,,,,,,"2XL",,"BLUE FLORAL",,,"ASP28KT016-BL/FL-2XL",,"shopify",0,"deny","manual",35,,"TRUE","TRUE",888236568392,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-triblock-tee-blue-floral",,,,,,,,"3XL",,"BLUE FLORAL",,,"ASP28KT016-BL/FL-3XL",,"shopify",0,"deny","manual",35,,"TRUE","TRUE",888236568408,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-baseball-jersey-blue-floral","BLUE FLORAL BASEBALL JERSEY","<p>BLUE FLORAL BASEBALL JERSEY</p>","Asphalt","JERSEY","BLUE FLORAL BASEBALL JERSEY, JERSEY","FALSE","Size","S","Color","BLUE FLORAL",,,"ASP28WT015-BL/FL-S",,"shopify",0,"deny","manual",40,,"TRUE","TRUE",888236568651,,,,"FALSE",,"Adult","Female","Apparel & Accessories",,"BLUE FLORAL BASEBALL JERSEY",,,"New",,,,,,,,"lb",,
"blue-floral-baseball-jersey-blue-floral",,,,,,,,"M",,"BLUE FLORAL",,,"ASP28WT015-BL/FL-M",,"shopify",0,"deny","manual",40,,"TRUE","TRUE",888236568668,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-baseball-jersey-blue-floral",,,,,,,,"L",,"BLUE FLORAL",,,"ASP28WT015-BL/FL-L",,"shopify",0,"deny","manual",40,,"TRUE","TRUE",888236568675,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-baseball-jersey-blue-floral",,,,,,,,"XL",,"BLUE FLORAL",,,"ASP28WT015-BL/FL-XL",,"shopify",0,"deny","manual",40,,"TRUE","TRUE",888236568682,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-baseball-jersey-blue-floral",,,,,,,,"2XL",,"BLUE FLORAL",,,"ASP28WT015-BL/FL-2XL",,"shopify",0,"deny","manual",40,,"TRUE","TRUE",888236568699,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-baseball-jersey-blue-floral",,,,,,,,"3XL",,"BLUE FLORAL",,,"ASP28WT015-BL/FL-3XL",,"shopify",0,"deny","manual",40,,"TRUE","TRUE",888236568705,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-chenille-hoody-multi-color","BLUE FLORAL CHENILLE HOODY","<p>BLUE FLORAL CHENILLE HOODY</p>","Asphalt","HOODIE","BLUE FLORAL CHENILLE HOODY, HOODIE","FALSE","Size","S","Color","MULTI COLOR",,,"ASP28KT013-MULT-S",,"shopify",0,"deny","manual",49,,"TRUE","TRUE",888236568293,,,,"FALSE",,"Adult","Female","Apparel & Accessories",,"BLUE FLORAL CHENILLE HOODY",,,"New",,,,,,,,"lb",,
"blue-floral-chenille-hoody-multi-color",,,,,,,,"M",,"MULTI COLOR",,,"ASP28KT013-MULT-M",,"shopify",0,"deny","manual",49,,"TRUE","TRUE",888236568309,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-chenille-hoody-multi-color",,,,,,,,"L",,"MULTI COLOR",,,"ASP28KT013-MULT-L",,"shopify",0,"deny","manual",49,,"TRUE","TRUE",888236568316,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-chenille-hoody-multi-color",,,,,,,,"XL",,"MULTI COLOR",,,"ASP28KT013-MULT-XL",,"shopify",0,"deny","manual",49,,"TRUE","TRUE",888236568323,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-chenille-hoody-multi-color",,,,,,,,"2XL",,"MULTI COLOR",,,"ASP28KT013-MULT-2XL",,"shopify",0,"deny","manual",49,,"TRUE","TRUE",888236568330,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-chenille-hoody-multi-color",,,,,,,,"3XL",,"MULTI COLOR",,,"ASP28KT013-MULT-3XL",,"shopify",0,"deny","manual",49,,"TRUE","TRUE",888236568347,,,,,,,,,,,,,,,,,,,,,"lb",,
"blue-floral-triblock-hoody-blue-floral","BLUE FLORAL TRIBLOCK HOODY","<p>BLUE FLORAL TRIBLOCK HOODY</p>","Asphalt","HOODIE","BLUE FLORAL TRIBLOCK HOODY, HOODIE","FALSE","Size","S","Color","BLUE FLORAL",,,"ASP28KT012-BL/FL-S",,"shopify",0,"deny","manual",49,,"TRUE","TRUE",888236568231,,,,"FALSE",,"Adult","Female","Apparel & Accessories",,"BLUE FLORAL TRIBLOCK HOODY",,,"New",,,,,,,,"lb",,
